month,year,sku_id,sku_name,category,subcategory,monthly_units_sold,avg_daily_sales,total_revenue,spike_percentage,spike_reason,event_type,inventory_impact,demand_trend,festival_effect,seasonal_effect,promotion_effect,weekend_effect,stockout_days,lost_sales_units,business_notes
January,2024,SKU0178,Pooja Plate Set,Household,Religious,970,31.3,260930.0,56.5,"Pongal demand surge - Pooja, Religious, Festival",Festival - Pongal,Low stock impact - 64 units missed opportunity,Strong Increase,Pongal,No Winter relevance,None,3% avg weekend uplift,0,64,Festival demand: Pongal; Seasonal factor: No Winter relevance; Significant demand spike - review forecast
January,2024,SKU0206,Gift Wrap Paper 5 sheets,Stationery,Gift Wrap,662,21.4,41044.0,64.3,Pongal demand surge - Festival,Festival - Pongal,Adequate inventory maintained,Strong Increase,Pongal,No Winter relevance,None,3% avg weekend uplift,0,0,Festival demand: Pongal; Seasonal factor: No Winter relevance; Significant demand spike - review forecast
January,2024,SKU0021,Sugar 1kg,Grocery,Sweeteners,726,23.4,30492.0,46.4,Pongal demand surge - Sugar,Festival - Pongal,Low stock impact - 72 units missed opportunity,Moderate Increase,Pongal,No Winter relevance,None,4% avg weekend uplift,0,72,Festival demand: Pongal; Seasonal factor: No Winter relevance
January,2024,SKU0132,Frozen Nuggets 500g,Frozen Foods,Frozen Foods,192,6.2,43968.0,3.2,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,4% avg weekend uplift,0,0,Seasonal factor: No Winter relevance; Niche product - irregular demand pattern
January,2024,SKU0268,Lip Balm 10g,Personal Care,Lip Care,602,19.4,47558.0,-7.5,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,6% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0086,Health Drink 1kg,Beverages,Health Drinks,868,28.0,285572.0,0.0,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,12% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0130,Frozen Parotta 400g,Frozen Foods,Frozen Foods,913,29.5,56606.0,1.6,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,15% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0081,Tea Powder 1kg,Beverages,Tea,582,18.8,156558.0,17.3,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,12% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0084,Instant Coffee 200g,Beverages,Coffee,804,25.9,135876.0,23.5,Regular consumer demand,Weekend/Demand Surge,Adequate inventory maintained,Moderate Increase,None,No Winter relevance,None,12% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0246,Frozen Chapati 20pcs,Frozen Foods,Frozen Foods,1094,35.3,152066.0,17.6,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,15% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0291,Christmas Chocolates 24pcs,Snacks,Chocolates,535,17.3,748465.0,23.3,Regular consumer demand,Weekend/Demand Surge,Adequate inventory maintained,Moderate Increase,None,No Winter relevance,None,17% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0026,Coriander Powder 200g,Grocery,Spices,771,24.9,40092.0,3.6,Regular consumer demand,Normal Trading,Low stock impact - 80 units missed opportunity,Stable,None,No Winter relevance,None,4% avg weekend uplift,0,80,Seasonal factor: No Winter relevance
January,2024,SKU0036,Vermicelli 500g,Grocery,Pasta,355,11.5,25560.0,4.1,Regular consumer demand,Normal Trading,Stockout for 2 days - lost 17 units,Stable,None,No Winter relevance,None,4% avg weekend uplift,2,17,Seasonal factor: No Winter relevance; Inventory issue: Stockout for 2 days - lost 17 units
January,2024,SKU0077,Lassi 200ml,Dairy,Beverages,769,24.8,24608.0,7.9,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,7% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0150,Sugarcane Per Stick,Fruits & Vegetables,Fruits,854,27.5,19642.0,83.7,Pongal demand surge - Pongal,Festival - Pongal,Adequate inventory maintained,Strong Increase,Pongal,No Winter relevance,None,9% avg weekend uplift,0,0,Festival demand: Pongal; Seasonal factor: No Winter relevance; Significant demand spike - review forecast
January,2024,SKU0210,Earphones Wired,Electronics,Electronics,144,4.6,60336.0,-7.1,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,2% avg weekend uplift,0,0,Seasonal factor: No Winter relevance; Niche product - irregular demand pattern
January,2024,SKU0119,Bread Loaf 400g,Bakery,Bakery,1541,49.7,64722.0,13.0,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,10% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0161,Diya Lamps 10pcs,Household,Religious,527,17.0,73253.0,30.8,Pongal demand surge - Religious,Festival - Pongal,Stockout for 3 days - lost 37 units,Moderate Increase,Pongal,No Winter relevance,None,3% avg weekend uplift,3,37,Festival demand: Pongal; Seasonal factor: No Winter relevance; Inventory issue: Stockout for 3 days - lost 37 units
January,2024,SKU0261,Cheese Balls 150g,Snacks,Snacks,378,12.2,44982.0,52.4,Buy 1 Get 1 on select snacks,Promotion - New Year Sale,Adequate inventory maintained,Strong Increase,None,No Winter relevance,New Year Sale,5% avg weekend uplift,0,0,Seasonal factor: No Winter relevance; Promotion active: New Year Sale; Significant demand spike - review forecast; Niche product - irregular demand pattern
January,2024,SKU0193,Shaving Razor 2pcs,Personal Care,Grooming,787,25.4,133003.0,10.4,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,6% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0011,Urad Dal 1kg,Grocery,Pulses,571,18.4,107919.0,-12.3,Regular consumer demand,Normal Trading,Low stock impact - 46 units missed opportunity,Moderate Decline,None,No Winter relevance,None,4% avg weekend uplift,0,46,Seasonal factor: No Winter relevance
January,2024,SKU0052,Quinoa 500g,Grocery,Grains,213,6.9,57297.0,14.5,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,1% avg weekend uplift,0,0,Seasonal factor: No Winter relevance; Niche product - irregular demand pattern
January,2024,SKU0020,Jaggery 1kg,Grocery,Sweeteners,1615,52.1,127585.0,73.7,"Pongal demand surge - Pongal, Jaggery",Festival - Pongal,Adequate inventory maintained,Strong Increase,Pongal,No Winter relevance,None,4% avg weekend uplift,0,0,Festival demand: Pongal; Seasonal factor: No Winter relevance; Significant demand spike - review forecast
January,2024,SKU0149,Coconut Per Piece,Fruits & Vegetables,Fruits,540,17.4,17280.0,93.5,"Pongal demand surge - Pongal, Coconut",Festival - Pongal,Adequate inventory maintained,Strong Increase,Pongal,No Winter relevance,None,9% avg weekend uplift,0,0,Festival demand: Pongal; Seasonal factor: No Winter relevance; Significant demand spike - review forecast
January,2024,SKU0253,Dry Fruit Mix 1kg,Grocery,Nuts,437,14.1,349163.0,41.0,Winter demand - Dry Fruit,Seasonal - Winter,Adequate inventory maintained,Moderate Increase,None,Winter demand - Dry Fruit,None,4% avg weekend uplift,0,0,Seasonal factor: Winter demand - Dry Fruit
January,2024,SKU0031,Cashew Nuts 500g,Grocery,Nuts,548,17.7,218652.0,-7.0,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,4% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0213,Mixer Grinder 750W,Electronics,Appliances,100,3.2,269900.0,7.5,Regular consumer demand,Normal Trading,Stockout for 4 days - lost 8 units,Stable,None,No Winter relevance,None,2% avg weekend uplift,4,8,Seasonal factor: No Winter relevance; Inventory issue: Stockout for 4 days - lost 8 units; Niche product - irregular demand pattern
January,2024,SKU0245,Instant Upma Mix 500g,Grocery,Mixes,792,25.5,70488.0,-8.8,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,4% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0181,Bath Soap 150g,Personal Care,Bath Soaps,1027,33.1,43134.0,18.3,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,6% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0143,Garlic 250g,Fruits & Vegetables,Vegetables,525,16.9,27300.0,12.9,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,9% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0044,Cornflakes 500g,Grocery,Breakfast,414,13.4,65826.0,-11.0,Regular consumer demand,Normal Trading,Adequate inventory maintained,Moderate Decline,None,No Winter relevance,None,4% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0290,Decorative Candles 6pcs,Household,Decorations,1049,33.8,145811.0,78.1,Pongal demand surge - Decorative,Festival - Pongal,Adequate inventory maintained,Strong Increase,Pongal,No Winter relevance,None,3% avg weekend uplift,0,0,Festival demand: Pongal; Seasonal factor: No Winter relevance; Significant demand spike - review forecast
January,2024,SKU0234,Bluetooth Speaker Portable,Electronics,Electronics,221,7.1,309179.0,-10.9,Regular consumer demand,Normal Trading,Adequate inventory maintained,Moderate Decline,None,No Winter relevance,None,2% avg weekend uplift,0,0,Seasonal factor: No Winter relevance; Niche product - irregular demand pattern
January,2024,SKU0230,Pongal Pot Set,Household,Religious,572,18.5,262548.0,84.5,"Pongal demand surge - Pongal, Religious",Festival - Pongal,Adequate inventory maintained,Strong Increase,Pongal,No Winter relevance,None,3% avg weekend uplift,0,0,Festival demand: Pongal; Seasonal factor: No Winter relevance; Significant demand spike - review forecast
January,2024,SKU0115,Salted Peanuts 200g,Snacks,Nuts,635,20.5,50165.0,13.8,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,17% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0090,Mineral Water 1L,Beverages,Beverages,1047,33.8,19893.0,16.5,Regular consumer demand,Normal Trading,Low stock impact - 86 units missed opportunity,Stable,None,No Winter relevance,None,12% avg weekend uplift,0,86,Seasonal factor: No Winter relevance
January,2024,SKU0108,Chocolate Cookies 200g,Snacks,Biscuits,863,27.8,68177.0,21.0,Regular consumer demand,Weekend/Demand Surge,Adequate inventory maintained,Moderate Increase,None,No Winter relevance,None,17% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0229,Santa Cap Free Size,Lifestyle,Clothing,243,7.8,33777.0,-12.9,Regular consumer demand,Normal Trading,Stockout for 2 days - lost 13 units,Moderate Decline,None,No Winter relevance,None,7% avg weekend uplift,2,13,Seasonal factor: No Winter relevance; Inventory issue: Stockout for 2 days - lost 13 units
January,2024,SKU0225,Plastic Chairs Single,Lifestyle,Furniture,115,3.7,71185.0,-7.3,Regular consumer demand,Normal Trading,Low stock impact - 3 units missed opportunity,Stable,None,No Winter relevance,None,2% avg weekend uplift,0,3,Seasonal factor: No Winter relevance; Niche product - irregular demand pattern
January,2024,SKU0259,Fresh Lime Soda 250ml,Beverages,Beverages,414,13.4,17388.0,21.4,Regular consumer demand,Weekend/Demand Surge,Adequate inventory maintained,Moderate Increase,None,No Winter relevance,None,12% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0059,Green Gram 1kg,Grocery,Pulses,488,15.7,43432.0,4.9,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,4% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0293,Silk Saree Combo Festival Pack,Lifestyle,Clothing,451,14.5,1668249.0,32.3,"Pongal demand surge - Pongal, Saree, Festival",Festival - Pongal,Stockout for 5 days - lost 76 units,Moderate Increase,Pongal,No Winter relevance,None,7% avg weekend uplift,5,76,Festival demand: Pongal; Seasonal factor: No Winter relevance; Inventory issue: Stockout for 5 days - lost 76 units
January,2024,SKU0124,Birthday Cake 1kg,Bakery,Bakery,118,3.8,54162.0,-4.8,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,3% avg weekend uplift,0,0,Seasonal factor: No Winter relevance; Niche product - irregular demand pattern
January,2024,SKU0260,Sports Drink 250ml,Beverages,Beverages,329,10.6,17108.0,17.9,Regular consumer demand,Normal Trading,Low stock impact - 11 units missed opportunity,Stable,None,No Winter relevance,None,12% avg weekend uplift,0,11,Seasonal factor: No Winter relevance
January,2024,SKU0103,Murukku 250g,Snacks,Traditional Snacks,796,25.7,94724.0,35.1,Buy 1 Get 1 on select snacks,Promotion - New Year Sale,Adequate inventory maintained,Moderate Increase,None,No Winter relevance,New Year Sale,17% avg weekend uplift,0,0,Seasonal factor: No Winter relevance; Promotion active: New Year Sale
January,2024,SKU0166,Detergent Powder 2kg,Household,Laundry,783,25.3,179307.0,-9.8,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,3% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0164,Dishwash Liquid 750ml,Household,Cleaning,853,27.5,118567.0,-5.1,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,3% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0167,Detergent Powder 2kg,Household,Laundry,968,31.2,260392.0,4.1,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,3% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0105,Banana Chips 250g,Snacks,Chips,1574,50.8,140086.0,75.1,Pongal demand surge - Banana,Festival - Pongal,Adequate inventory maintained,Strong Increase,Pongal,No Winter relevance,None,17% avg weekend uplift,0,0,Festival demand: Pongal; Seasonal factor: No Winter relevance; Significant demand spike - review forecast
January,2024,SKU0035,Dates Premium 500g,Grocery,Nuts,416,13.4,111904.0,3.2,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,4% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0042,Pickle Jar 500g,Grocery,Condiments,797,25.7,94843.0,11.8,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,4% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0095,Badam Milk 180ml,Beverages,Beverages,443,14.3,18606.0,9.9,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,12% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0203,Pencil Box 10pcs,Stationery,Stationery,96,3.1,13344.0,3.2,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,1% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0111,Halwa Pack 500g,Snacks,Traditional Sweets,535,17.3,143915.0,7.9,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,17% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0156,Cucumber 1kg,Fruits & Vegetables,Vegetables,1106,35.7,35392.0,-0.9,Regular consumer demand,Normal Trading,Low stock impact - 73 units missed opportunity,Stable,None,No Winter relevance,None,9% avg weekend uplift,0,73,Seasonal factor: No Winter relevance
January,2024,SKU0023,Rock Salt 500g,Grocery,Salt,489,15.8,15648.0,-7.2,Regular consumer demand,Normal Trading,Low stock impact - 31 units missed opportunity,Stable,None,No Winter relevance,None,4% avg weekend uplift,0,31,Seasonal factor: No Winter relevance
January,2024,SKU0002,Ponni Rice 10kg,Grocery,Rice,1387,44.7,1801713.0,54.3,"Pongal demand surge - Pongal, Rice",Festival - Pongal,Adequate inventory maintained,Strong Increase,Pongal,No Winter relevance,None,4% avg weekend uplift,0,0,Festival demand: Pongal; Seasonal factor: No Winter relevance; Significant demand spike - review forecast
January,2024,SKU0187,Toothpaste 150g,Personal Care,Oral Care,893,28.8,64296.0,2.9,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,6% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0275,Kitchen Towels 2 Rolls,Household,Kitchenware,653,21.1,77707.0,-12.2,Regular consumer demand,Normal Trading,Adequate inventory maintained,Moderate Decline,None,No Winter relevance,None,3% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0192,Perfume Gift Set,Personal Care,Fragrances,522,16.8,417078.0,-6.5,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,6% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0008,Maida Flour 1kg,Grocery,Flour,766,24.7,32172.0,-8.5,Regular consumer demand,Normal Trading,Low stock impact - 26 units missed opportunity,Stable,None,No Winter relevance,None,4% avg weekend uplift,0,26,Seasonal factor: No Winter relevance
January,2024,SKU0239,Vitamin Supplements 30 tabs,Personal Care,Health,734,23.7,241486.0,7.6,Regular consumer demand,Normal Trading,Low stock impact - 27 units missed opportunity,Stable,None,No Winter relevance,None,6% avg weekend uplift,0,27,Seasonal factor: No Winter relevance
January,2024,SKU0160,Camphor 100g,Household,Religious,488,15.7,43432.0,43.1,"Pongal demand surge - Religious, Festival",Festival - Pongal,Adequate inventory maintained,Moderate Increase,Pongal,No Winter relevance,None,3% avg weekend uplift,0,0,Festival demand: Pongal; Seasonal factor: No Winter relevance
January,2024,SKU0298,Pongal Sugar Pack 2kg,Grocery,Sweeteners,1007,32.5,170183.0,80.5,"Pongal demand surge - Pongal, Sugar",Festival - Pongal,Adequate inventory maintained,Strong Increase,Pongal,No Winter relevance,None,4% avg weekend uplift,0,0,Festival demand: Pongal; Seasonal factor: No Winter relevance; Significant demand spike - review forecast
January,2024,SKU0054,Honey 500g,Grocery,Sweeteners,773,24.9,122907.0,8.4,Regular consumer demand,Normal Trading,Low stock impact - 56 units missed opportunity,Stable,None,No Winter relevance,None,4% avg weekend uplift,0,56,Seasonal factor: No Winter relevance
January,2024,SKU0263,Frozen Veg Burger Patty 400g,Frozen Foods,Frozen Foods,113,3.6,22487.0,-8.9,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,4% avg weekend uplift,0,0,Seasonal factor: No Winter relevance; Niche product - irregular demand pattern
January,2024,SKU0019,Ghee 1L,Grocery,Ghee,1080,34.8,560520.0,104.9,Pongal demand surge - Ghee; Winter demand - Ghee,Festival - Pongal,Adequate inventory maintained,Strong Increase,Pongal,Winter demand - Ghee,None,4% avg weekend uplift,0,0,Festival demand: Pongal; Seasonal factor: Winter demand - Ghee; Significant demand spike - review forecast
January,2024,SKU0070,Ice Cream Family Pack 1L,Dairy,Frozen,408,13.2,68952.0,9.7,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,7% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0147,Watermelon Per Piece,Fruits & Vegetables,Fruits,289,9.3,17918.0,3.6,Regular consumer demand,Normal Trading,Low stock impact - 12 units missed opportunity,Stable,None,No Winter relevance,None,9% avg weekend uplift,0,12,Seasonal factor: No Winter relevance
January,2024,SKU0286,Dry Fruit Gift Hamper Combo,Grocery,Gift Sets,579,18.7,694221.0,55.6,Winter demand - Dry Fruit,Seasonal - Winter,Stockout for 3 days - lost 40 units,Strong Increase,None,Winter demand - Dry Fruit,None,4% avg weekend uplift,3,40,Seasonal factor: Winter demand - Dry Fruit; Inventory issue: Stockout for 3 days - lost 40 units; Significant demand spike - review forecast
January,2024,SKU0047,Biryani Masala 100g,Grocery,Spices,393,12.7,16506.0,-15.5,Regular consumer demand,Normal Trading,Stockout for 5 days - lost 56 units,Moderate Decline,None,No Winter relevance,None,4% avg weekend uplift,5,56,Seasonal factor: No Winter relevance; Inventory issue: Stockout for 5 days - lost 56 units
January,2024,SKU0182,Bath Soap 125g,Personal Care,Bath Soaps,933,30.1,57846.0,0.3,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,6% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0183,Shampoo Sachet 6ml,Personal Care,Hair Care,575,18.5,2875.0,15.9,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,6% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0069,Flavored Yogurt 90g,Dairy,Dairy,86,2.8,3612.0,-7.5,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,2% avg weekend uplift,0,0,Seasonal factor: No Winter relevance; Niche product - irregular demand pattern
January,2024,SKU0007,Wheat Flour Atta 5kg,Grocery,Atta,1026,33.1,306774.0,18.2,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,4% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0276,Match Box 10pcs,Household,Household,716,23.1,16468.0,-11.2,Regular consumer demand,Normal Trading,Adequate inventory maintained,Moderate Decline,None,No Winter relevance,None,3% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0096,Fruit Syrup 750ml,Beverages,Syrups,588,19.0,93492.0,5.4,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,12% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0079,Probiotic Drink 5pcs,Dairy,Beverages,146,4.7,17374.0,-5.8,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,2% avg weekend uplift,0,0,Seasonal factor: No Winter relevance; Niche product - irregular demand pattern
January,2024,SKU0078,Dairy Whitener 400g,Dairy,Dairy,742,23.9,103138.0,-14.5,Regular consumer demand,Normal Trading,Low stock impact - 73 units missed opportunity,Moderate Decline,None,No Winter relevance,None,7% avg weekend uplift,0,73,Seasonal factor: No Winter relevance
January,2024,SKU0116,Namkeen Mix 400g,Snacks,Traditional Snacks,626,20.2,87014.0,18.8,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,17% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0281,Mosquito Bat Rechargeable,Household,Pest Control,715,23.1,235235.0,15.3,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,3% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0226,Saree Gift Pack Silk Blend,Lifestyle,Clothing,720,23.2,1943280.0,54.8,Pongal demand surge - Saree,Festival - Pongal,Adequate inventory maintained,Strong Increase,Pongal,No Winter relevance,None,7% avg weekend uplift,0,0,Festival demand: Pongal; Seasonal factor: No Winter relevance; Significant demand spike - review forecast
January,2024,SKU0238,Face Mask Pack 3pcs,Personal Care,Beauty,156,5.0,35724.0,0.6,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,2% avg weekend uplift,0,0,Seasonal factor: No Winter relevance; Niche product - irregular demand pattern
January,2024,SKU0299,Ramadan Combo Kit,Grocery,Gift Sets,305,9.8,243695.0,-18.0,Regular consumer demand,Normal Trading,Stockout for 4 days - lost 29 units,Moderate Decline,None,No Winter relevance,None,4% avg weekend uplift,4,29,Seasonal factor: No Winter relevance; Inventory issue: Stockout for 4 days - lost 29 units
January,2024,SKU0050,Sugar Candy 250g,Grocery,Sweeteners,665,21.5,47880.0,65.0,"Pongal demand surge - Sugar, Festival",Festival - Pongal,Stockout for 3 days - lost 53 units,Strong Increase,Pongal,No Winter relevance,None,4% avg weekend uplift,3,53,Festival demand: Pongal; Seasonal factor: No Winter relevance; Inventory issue: Stockout for 3 days - lost 53 units; Significant demand spike - review forecast
January,2024,SKU0128,Donuts 2pcs,Bakery,Bakery,131,4.2,15589.0,5.6,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,3% avg weekend uplift,0,0,Seasonal factor: No Winter relevance; Niche product - irregular demand pattern
January,2024,SKU0272,Lunch Box Medium,Household,Kitchenware,584,18.8,157096.0,17.7,Regular consumer demand,Normal Trading,Adequate inventory maintained,Stable,None,No Winter relevance,None,3% avg weekend uplift,0,0,Seasonal factor: No Winter relevance
January,2024,SKU0244,Green Peas Masala 200g,Grocery,Mixes,223,7.2,17617.0,2.8,Regular consumer demand,Normal Trading,Low stock impact - 13 units missed opportunity,Stable,None,No Winter relevance,None,1% avg weekend uplift,0,13,Seasonal factor: No Winter relevance; Niche product - irregular demand pattern
